Sample	Urban.Type	Lawn	Richness	Temp.Mean	Photoperiod	Rh.Mean
16680	8	No	9	24.68000397	11.49259382	46.88169643
16686	8	No	29	17.66533802	10.58780528	65.51732717
16690	8	No	21	19.73820697	10.39602234	53.79853904
16697	9	Yes	13	19.45687847	10.40106278	58.77931548
16698	3	No	15	25.36746032	11.4924717	40.97137897
16702	3	No	11	20.67367163	10.39713971	46.29885913
16722	1	No	33	24.09831944	11.49086229	35.14945437
16727	1	No	20	18.83639236	10.39251876	47.81994048
16728	3	No	4	25.34137577	11.49171967	39.3852408
16733	3	No	5	20.62052778	10.39498057	45.57415675
16738	3	Yes	24	20.13445883	13.98365032	47.78829365
16743	3	No	20	17.07722321	10.39338289	49.7109127
16762	3	No	34	21.34626637	10.39407031	41.78864087
16774	9	Yes	22	20.33791419	10.39999183	53.28700397
16779	9	Yes	20	19.09295288	10.41021618	65.32172619
16786	3	No	25	21.03284474	10.39423214	42.22127976
16788	9	Yes	1	16.85311954	9.913290273	83.45352183
16790	8	No	21	20.84032341	10.39920239	51.78229167
16793	8	No	24	17.63296974	9.910865618	77.53893849
16796	3	Yes	13	20.87951935	10.39617334	47.48159722
16814	8	Yes	15	20.06657589	10.40129606	59.18844246
16818	8	Yes	6	17.18254171	9.913594299	81.33341901
16831	8	No	12	19.98855109	10.3974903	50.95922619
16835	8	No	11	17.00958433	9.908634166	79.63730159
16838	8	No	23	20.16384722	10.39915957	55.11681548
16843	9	Yes	16	18.26919742	10.39719774	60.55858135
16847	9	Yes	12	16.0638001	9.908252848	83.58546627
16850	9	Yes	16	20.56083681	10.40023174	55.96582341
16854	9	Yes	9	17.39169345	9.912207183	81.48457341
16857	9	No	19	19.15884226	10.39847298	59.64776786
16861	9	No	12	16.49844048	9.909914955	84.15094246
16866	8	No	14	13.56719636	9.876705664	81.42134177
16868	9	No	37	23.00114236	11.98140669	73.17986111
16871	9	No	29	17.8875754	10.58987379	67.73328373
16876	9	No	37	17.01676042	9.909771948	83.88621032
16882	3	No	28	16.9374494	9.908177213	78.57683532
16893	1	No	19	15.08327282	9.902154038	82.05967262
16913	3	Yes	20	16.96668651	9.906147289	77.66731151
16927	3	No	5	16.54028323	9.905362961	78.32078373
16941	3	No	14	15.06866716	9.903280437	81.97832341
16948	3	No	9	16.94278522	9.904387411	75.40972222
16955	3	No	23	16.71347669	9.904176469	76.3515377
16969	9	Yes	26	14.46756895	9.881954596	78.14201389
16973	9	Yes	20	16.7588626	9.925218429	85.56547619
16984	3	Yes	10	17.05375248	9.906917647	77.59122024
17020	8	No	17	14.19524653	9.880854122	80.13859127
